Tarih,Urunbasi_ortalama_maliyet
1.01.2020,210.0
2.01.2020,210.0
3.01.2020,210.0
4.01.2020,210.0
5.01.2020,220.0
6.01.2020,210.0
7.01.2020,220.0
8.01.2020,210.0
9.01.2020,210.0
10.01.2020,210.0
11.01.2020,230.0
12.01.2020,210.0
13.01.2020,210.0
14.01.2020,210.0
15.01.2020,210.0
16.01.2020,234.0
17.01.2020,240.0
18.01.2020,236.0
19.01.2020,252.0
20.01.2020,240.0
21.01.2020,264.0
22.01.2020,300.0
23.01.2020,210.0
24.01.2020,210.0
25.01.2020,210.0
26.01.2020,210.0
27.01.2020,210.0
28.01.2020,210.0
29.01.2020,210.0
30.01.2020,230.0
31.01.2020,230.0
1.02.2020,230.0
2.02.2020,230.0
3.02.2020,230.0
4.02.2020,230.0
5.02.2020,230.0
6.02.2020,230.0
7.02.2020,230.0
8.02.2020,230.0
9.02.2020,230.0
10.02.2020,220.0
11.02.2020,220.0
12.02.2020,220.0
13.02.2020,220.0
14.02.2020,230.0
15.02.2020,226.0
16.02.2020,234.0
17.02.2020,234.0
18.02.2020,240.0
19.02.2020,230.0
20.02.2020,236.0
21.02.2020,234.0
22.02.2020,252.0
23.02.2020,234.0
24.02.2020,240.0
25.02.2020,254.0
26.02.2020,264.0
27.02.2020,230.0
28.02.2020,230.0
29.02.2020,230.0
1.03.2020,230.0
2.03.2020,230.0
3.03.2020,230.0
4.03.2020,230.0
5.03.2020,230.0
6.03.2020,230.0
7.03.2020,230.0
8.03.2020,200.0
9.03.2020,200.0
10.03.2020,200.0
11.03.2020,200.0
12.03.2020,200.0
13.03.2020,200.0
14.03.2020,200.0
15.03.2020,200.0
16.03.2020,220.0
17.03.2020,220.0
18.03.2020,220.0
19.03.2020,220.0
20.03.2020,213.0
21.03.2020,213.0
22.03.2020,213.0
23.03.2020,220.0
24.03.2020,220.0
25.03.2020,220.0
26.03.2020,220.0
27.03.2020,220.0
28.03.2020,234.0
29.03.2020,234.0
30.03.2020,234.0
31.03.2020,234.0
1.04.2020,234.0
2.04.2020,234.0
3.04.2020,240.0
4.04.2020,240.0
5.04.2020,240.0
6.04.2020,240.0
7.04.2020,240.0
8.04.2020,252.0
9.04.2020,252.0
10.04.2020,252.0
11.04.2020,252.0
12.04.2020,264.0
13.04.2020,264.0
14.04.2020,264.0
15.04.2020,264.0
16.04.2020,264.0
17.04.2020,300.0
18.04.2020,300.0
19.04.2020,300.0
20.04.2020,300.0
21.04.2020,300.0
22.04.2020,320.0
23.04.2020,320.0
24.04.2020,320.0
25.04.2020,320.0
26.04.2020,320.0
27.04.2020,320.0
28.04.2020,320.0
29.04.2020,320.0
30.04.2020,350.0
1.05.2020,350.0
2.05.2020,350.0
3.05.2020,350.0
4.05.2020,350.0
5.05.2020,350.0
6.05.2020,390.0
7.05.2020,390.0
8.05.2020,390.0
9.05.2020,390.0
10.05.2020,390.0
11.05.2020,390.0
12.05.2020,410.0
13.05.2020,420.0
14.05.2020,420.0
15.05.2020,420.0
16.05.2020,420.0
17.05.2020,420.0
18.05.2020,420.0
19.05.2020,420.0
20.05.2020,410.0
21.05.2020,410.0
22.05.2020,410.0
23.05.2020,410.0
24.05.2020,410.0
25.05.2020,410.0
26.05.2020,420.0
27.05.2020,420.0
28.05.2020,420.0
29.05.2020,420.0
30.05.2020,420.0
31.05.2020,420.0
1.06.2020,420.0
2.06.2020,420.0
3.06.2020,420.0
4.06.2020,420.0
5.06.2020,420.0
6.06.2020,420.0
7.06.2020,420.0
8.06.2020,420.0
9.06.2020,420.0
10.06.2020,420.0
11.06.2020,420.0
12.06.2020,420.0
13.06.2020,420.0
14.06.2020,420.0
15.06.2020,420.0
16.06.2020,420.0
17.06.2020,420.0
18.06.2020,420.0
19.06.2020,420.0
20.06.2020,420.0
21.06.2020,440.0
22.06.2020,440.0
23.06.2020,440.0
24.06.2020,440.0
25.06.2020,440.0
26.06.2020,440.0
27.06.2020,440.0
28.06.2020,440.0
29.06.2020,440.0
30.06.2020,440.0
1.07.2020,440.0
2.07.2020,440.0
3.07.2020,440.0
4.07.2020,440.0
5.07.2020,440.0
6.07.2020,450.0
7.07.2020,450.0
8.07.2020,450.0
9.07.2020,450.0
10.07.2020,450.0
11.07.2020,450.0
12.07.2020,450.0
13.07.2020,450.0
14.07.2020,450.0
15.07.2020,450.0
16.07.2020,450.0
17.07.2020,450.0
18.07.2020,450.0
19.07.2020,450.0
20.07.2020,450.0
21.07.2020,450.0
22.07.2020,450.0
23.07.2020,450.0
24.07.2020,450.0
25.07.2020,450.0
26.07.2020,450.0
27.07.2020,450.0
28.07.2020,450.0
29.07.2020,450.0
30.07.2020,450.0
31.07.2020,450.0
1.08.2020,450.0
2.08.2020,450.0
3.08.2020,450.0
4.08.2020,450.0
5.08.2020,450.0
6.08.2020,450.0
7.08.2020,450.0
8.08.2020,450.0
9.08.2020,450.0
10.08.2020,450.0
11.08.2020,450.0
12.08.2020,470.0
13.08.2020,470.0
14.08.2020,470.0
15.08.2020,470.0
16.08.2020,470.0
17.08.2020,470.0
18.08.2020,470.0
19.08.2020,470.0
20.08.2020,470.0
21.08.2020,470.0
22.08.2020,470.0
23.08.2020,470.0
24.08.2020,470.0
25.08.2020,470.0
26.08.2020,470.0
27.08.2020,470.0
28.08.2020,470.0
29.08.2020,470.0
30.08.2020,470.0
31.08.2020,470.0
1.09.2020,490.0
2.09.2020,490.0
3.09.2020,490.0
4.09.2020,490.0
5.09.2020,490.0
6.09.2020,490.0
7.09.2020,490.0
8.09.2020,490.0
9.09.2020,490.0
10.09.2020,490.0
11.09.2020,490.0
12.09.2020,490.0
13.09.2020,490.0
14.09.2020,490.0
15.09.2020,490.0
16.09.2020,500.0
17.09.2020,500.0
18.09.2020,500.0
19.09.2020,500.0
20.09.2020,500.0
21.09.2020,500.0
22.09.2020,500.0
23.09.2020,500.0
24.09.2020,500.0
25.09.2020,500.0
26.09.2020,500.0
27.09.2020,500.0
28.09.2020,500.0
29.09.2020,500.0
30.09.2020,500.0
1.10.2020,500.0
2.10.2020,500.0
3.10.2020,500.0
4.10.2020,500.0
5.10.2020,500.0
6.10.2020,500.0
7.10.2020,500.0
8.10.2020,540.0
9.10.2020,540.0
10.10.2020,540.0
11.10.2020,540.0
12.10.2020,600.0
13.10.2020,600.0
14.10.2020,600.0
15.10.2020,600.0
16.10.2020,600.0
17.10.2020,650.0
18.10.2020,650.0
19.10.2020,650.0
20.10.2020,662.0
21.10.2020,666.0
22.10.2020,658.0
23.10.2020,662.0
24.10.2020,662.0
25.10.2020,642.0
26.10.2020,614.0
27.10.2020,666.0
28.10.2020,666.0
29.10.2020,666.0
30.10.2020,666.0
31.10.2020,666.0
1.11.2020,666.0
2.11.2020,666.0
3.11.2020,700.0
4.11.2020,700.0
5.11.2020,690.0
6.11.2020,690.0
7.11.2020,690.0
8.11.2020,690.0
9.11.2020,690.0
10.11.2020,690.0
11.11.2020,690.0
12.11.2020,690.0
13.11.2020,690.0
14.11.2020,690.0
15.11.2020,690.0
16.11.2020,720.0
17.11.2020,720.0
18.11.2020,720.0
19.11.2020,720.0
20.11.2020,720.0
21.11.2020,720.0
22.11.2020,714.0
23.11.2020,708.0
24.11.2020,690.0
25.11.2020,702.0
26.11.2020,710.0
27.11.2020,700.0
28.11.2020,700.0
29.11.2020,720.0
30.11.2020,720.0
1.12.2020,720.0
2.12.2020,720.0
3.12.2020,720.0
4.12.2020,720.0
5.12.2020,720.0
6.12.2020,720.0
7.12.2020,720.0
8.12.2020,720.0
9.12.2020,720.0
10.12.2020,755.0
11.12.2020,755.0
12.12.2020,755.0
13.12.2020,755.0
14.12.2020,755.0
15.12.2020,755.0
16.12.2020,755.0
17.12.2020,755.0
18.12.2020,755.0
19.12.2020,755.0
20.12.2020,762.0
21.12.2020,769.0
22.12.2020,776.0
23.12.2020,783.0
24.12.2020,790.0
25.12.2020,790.0
26.12.2020,792.0
27.12.2020,794.0
28.12.2020,796.0
29.12.2020,796.0
30.12.2020,796.0
